ANOV Issue Date ,Street No ,Street Direction ,Street Name ,City,State,ANOV Number ,Violation Description ,Age ,Street Address
19-Jun-12,63XX ,S ,COTTAGE GROVE ,Chicago,Illinois,P003139705 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,63XX  S  COTTAGE GROVE 
19-Jun-12,70XX ,N ,CLARK ,Chicago,Illinois,P002031761 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,34,70XX  N  CLARK 
19-Jun-12,8XX ,W ,32ND ST ,Chicago,Illinois,P003016939 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,8XX  W  32ND ST 
20-Jun-12,25XX ,N ,KIMBALL ,Chicago,Illinois,P003251180 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,25XX  N  KIMBALL 
20-Jun-12,69XX ,S ,SOUTH CHICAGO ,Chicago,Illinois,P003064652 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,32,69XX  S  SOUTH CHICAGO 
21-Jun-12,16XX ,W ,MADISON ,Chicago,Illinois,P003110033 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,59,16XX  W  MADISON 
21-Jun-12,1XX ,W ,18TH ST ,Chicago,Illinois,P002085714 ,9-52-010 Rights and duties. ,47,1XX  W  18TH ST 
21-Jun-12,25XX ,S ,ALBANY ,Chicago,Illinois,P003221183 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,19,25XX  S  ALBANY 
21-Jun-12,28XX ,S ,MILLARD ,Chicago,Illinois,P003047166 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,19,28XX  S  MILLARD 
21-Jun-12,31XX ,W ,25 ST ,Chicago,Illinois,P003043846 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,31XX  W  25 ST 
21-Jun-12,31XX ,W ,25TH ST ,Chicago,Illinois,P003047167 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,31XX  W  25TH ST 
21-Jun-12,35XX ,W ,CHICAGO ,Chicago,Illinois,P003180604 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,20,35XX  W  CHICAGO 
21-Jun-12,41XX ,W ,13TH ST ,Chicago,Illinois,P003221905 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,41XX  W  13TH ST 
21-Jun-12,5XX ,W ,KINZIE ST ,Chicago,Illinois,P003111971 ,9-52-010 Rights and duties. ,26,5XX  W  KINZIE ST 
21-Jun-12,68XX ,S ,MAPLEWOOD ,Chicago,Illinois,P003041321 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,68XX  S  MAPLEWOOD 
22-Jun-12,22XX ,N ,MEADE ,Chicago,Illinois,P003129680 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,46,22XX  N  MEADE 
22-Jun-12,24XX ,S ,KEDZIE ,Chicago,Illinois,P003222051 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,24XX  S  KEDZIE 
22-Jun-12,26XX ,S ,CENTRAL PARK ,Chicago,Illinois,P003047168 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,26XX  S  CENTRAL PARK 
22-Jun-12,26XX ,S ,CENTRAL PK ,Chicago,Illinois,P003043847 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,25,26XX  S  CENTRAL PK 
22-Jun-12,57XX ,N ,SHERIDAN RD ,Chicago,Illinois,P002085715 ,9-52-010 Rights and duties. ,24,57XX  N  SHERIDAN RD 
24-Jun-12,11XX ,W ,HOLLYWOOD ,Chicago,Illinois,P003122262 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,41,11XX  W  HOLLYWOOD 
24-Jun-12,28XX ,W ,DIVISION ,Chicago,Illinois,P003199002 ,9-52-010 Rights and duties. ,24,28XX  W  DIVISION 
24-Jun-12,28XX ,W ,DIVISION ,Chicago,Illinois,P003199003 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,28XX  W  DIVISION 
24-Jun-12,35XX ,W ,111TH ,Chicago,Illinois,P003235555 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,34,35XX  W  111TH 
24-Jun-12,6XX ,N ,ASHLAND ,Chicago,Illinois,P003199001 ,9-52-010 Rights and duties. ,20,6XX  N  ASHLAND 
25-Jun-12,35XX ,W ,DOUGLAS ,Chicago,Illinois,P003222052 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,35XX  W  DOUGLAS 
25-Jun-12,35XX ,W ,NORTH ,Chicago,Illinois,P003167628 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,51,35XX  W  NORTH 
26-Jun-12,105XX ,S ,LASALLE ,Chicago,Illinois,P003135807 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,105XX  S  LASALLE 
26-Jun-12,12XX ,W ,51,Chicago,Illinois,P003328951 ,9-52-060 Carrying articles on bicycles. ,41,12XX  W  51
26-Jun-12,15XX ,W ,51 ST ,Chicago,Illinois,P003328952 ,9-52-080 Headlamps ,54,15XX  W  51 ST 
26-Jun-12,66XX ,N ,SHERIDAN RD ,Chicago,Illinois,P003134399 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,66XX  N  SHERIDAN RD 
27-Jun-12,110XX ,S ,MICHIGAN ,Chicago,Illinois,P003077557 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,110XX  S  MICHIGAN 
27-Jun-12,115XX ,S ,MICHIGAN ,Chicago,Illinois,P003136476 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,115XX  S  MICHIGAN 
27-Jun-12,53XX ,W ,WELLINGTON ST ,Chicago,Illinois,P003167054 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,53XX  W  WELLINGTON ST 
27-Jun-12,54XX ,N ,CALIFORNIA ,Chicago,Illinois,P003131702 ,9-52-010 Rights and duties. ,22,54XX  N  CALIFORNIA 
27-Jun-12,75XX ,S ,PHILLIPS ,Chicago,Illinois,P003164485 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,75XX  S  PHILLIPS 
27-Jun-12,8XX ,N ,DAMEN ,Chicago,Illinois,P001872039 ,9-52-010 Rights and duties. ,25,8XX  N  DAMEN 
28-Jun-12,25XX ,S ,ALBANY ,Chicago,Illinois,P003221185 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,25XX  S  ALBANY 
29-Jun-12,24XX ,W ,GRAND ,Chicago,Illinois,P003199128 ,9-52-010 Rights and duties. ,26,24XX  W  GRAND 
29-Jun-12,26XX ,E ,79TH ST ,Chicago,Illinois,P002120071 ,9-52-080 Headlamps ,22,26XX  E  79TH ST 
29-Jun-12,26XX ,E ,79TH ST ,Chicago,Illinois,P003160055 ,9-52-080 Headlamps ,20,26XX  E  79TH ST 
29-Jun-12,27XX ,E ,79TH ST ,Chicago,Illinois,P002120070 ,9-52-080 Headlamps ,32,27XX  E  79TH ST 
29-Jun-12,48XX ,N ,MAGNOLIA ,Chicago,Illinois,P003122264 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,48XX  N  MAGNOLIA 
29-Jun-12,54XX ,N ,BROADWAY ,Chicago,Illinois,P003122263 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,47,54XX  N  BROADWAY 
29-Jun-12,54XX ,N ,BROADWAY ,Chicago,Illinois,P003124012 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,53,54XX  N  BROADWAY 
29-Jun-12,61XX ,S ,RACINE ,Chicago,Illinois,P003007521 ,9-52-010 Rights and duties. ,18,61XX  S  RACINE 
29-Jun-12,71XX ,S ,MICHIGAN ,Chicago,Illinois,P003075090 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,51,71XX  S  MICHIGAN 
29-Jun-12,79XX ,S ,BURNHAM ,Chicago,Illinois,P003160056 ,9-52-080 Headlamps ,30,79XX  S  BURNHAM 
29-Jun-12,8XX ,N ,MICHIGAN ,Chicago,Illinois,P003221602 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,8XX  N  MICHIGAN 
29-Jun-12,8XX ,N ,MICHIGAN ,Chicago,Illinois,P003221603 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,8XX  N  MICHIGAN 
30-Jun-12,18XX ,E ,67TH STREET ,Chicago,Illinois,P003139712 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,35,18XX  E  67TH STREET 
30-Jun-12,19XX ,S ,TROY ,Chicago,Illinois,P003043641 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,51,19XX  S  TROY 
30-Jun-12,22XX ,S ,DRAKE ,Chicago,Illinois,P003043014 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,47,22XX  S  DRAKE 
30-Jun-12,2XX ,E ,75TH ST ,Chicago,Illinois,P003249231 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,2XX  E  75TH ST 
30-Jun-12,30XX ,W ,73RD ST ,Chicago,Illinois,P003298527 ,9-52-010 Rights and duties. ,20,30XX  W  73RD ST 
30-Jun-12,55XX ,W ,HARRISON ST ,Chicago,Illinois,P003082558 ,9-52-010 Rights and duties. ,53,55XX  W  HARRISON ST 
30-Jun-12,6XX ,E ,62ND ST ,Chicago,Illinois,P003249726 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,6XX  E  62ND ST 
30-Jun-12,71XX ,S ,CORNELL ,Chicago,Illinois,P003139713 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,71XX  S  CORNELL 
30-Jun-12,71XX ,S ,STATE ST ,Chicago,Illinois,P003112162 ,9-52-070 Parking. ,32,71XX  S  STATE ST 
1-Jul-12,17XX ,E ,71ST ST ,Chicago,Illinois,P003139714 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,17XX  E  71ST ST 
1-Jul-12,20XX ,W ,69TH ST ,Chicago,Illinois,P003117106 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,33,20XX  W  69TH ST 
1-Jul-12,58XX ,N ,LINCOLN ,Chicago,Illinois,P003122266 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,58XX  N  LINCOLN 
1-Jul-12,71XX ,S ,PRAIRIE ,Chicago,Illinois,P003249233 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,71XX  S  PRAIRIE 
1-Jul-12,79XX ,S ,SOUTH SHORE ,Chicago,Illinois,P002120072 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,79XX  S  SOUTH SHORE 
2-Jul-12,5XX ,W ,KINZIE ST ,Chicago,Illinois,P003111974 ,9-52-010 Rights and duties. ,32,5XX  W  KINZIE ST 
2-Jul-12,61XX ,S ,VERNON ,Chicago,Illinois,P002106645 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,61XX  S  VERNON 
2-Jul-12,8XX ,N ,MICHIGAN ,Chicago,Illinois,P003077182 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,8XX  N  MICHIGAN 
3-Jul-12,102XX ,S ,AVENUE L ,Chicago,Illinois,P003164037 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,19,102XX  S  AVENUE L 
3-Jul-12,25XX ,S ,CENTRAL PARK ,Chicago,Illinois,P003249728 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,42,25XX  S  CENTRAL PARK 
3-Jul-12,33XX ,W ,OGDEN ,Chicago,Illinois,P003222201 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,47,33XX  W  OGDEN 
3-Jul-12,4XX ,W ,KINZIE ,Chicago,Illinois,P003274264 ,9-52-010 Rights and duties. ,27,4XX  W  KINZIE 
3-Jul-12,60XX ,N ,BROADWAY ,Chicago,Illinois,P003134301 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,39,60XX  N  BROADWAY 
3-Jul-12,66XX ,S ,CHAMPLAIN ,Chicago,Illinois,P003021967 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,19,66XX  S  CHAMPLAIN 
3-Jul-12,9XX ,W ,ADAMS ST ,Chicago,Illinois,P003248803 ,9-52-010 Rights and duties. ,44,9XX  W  ADAMS ST 
4-Jul-12,7XX ,N ,MICHIGAN ,Chicago,Illinois,P003073491 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,7XX  N  MICHIGAN 
5-Jul-12,12XX ,N ,LSD ,Chicago,Illinois,P003010916 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,12XX  N  LSD 
5-Jul-12,12XX ,N ,LSD ,Chicago,Illinois,P003239457 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,20,12XX  N  LSD 
5-Jul-12,12XX ,S ,CALIFORNIA ,Chicago,Illinois,P003043642 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,46,12XX  S  CALIFORNIA 
5-Jul-12,26XX ,N ,SAYRE ,Chicago,Illinois,P003066612 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,55,26XX  N  SAYRE 
5-Jul-12,27XX ,S ,KOMENSKY AVE ,Chicago,Illinois,P002327155 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,30,27XX  S  KOMENSKY AVE 
5-Jul-12,63XX ,S ,ASHLAND ,Chicago,Illinois,P003248458 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,36,63XX  S  ASHLAND 
5-Jul-12,7XX ,E ,61ST ST ,Chicago,Illinois,P003199676 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,7XX  E  61ST ST 
7-Jul-12,15XX ,S ,KEDZIE ,Chicago,Illinois,P003043643 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,40,15XX  S  KEDZIE 
7-Jul-12,65XX ,S ,SANGAMON ,Chicago,Illinois,P003227839 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,36,65XX  S  SANGAMON 
7-Jul-12,8XX ,N ,MICHIGAN ,Chicago,Illinois,P003077181 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,8XX  N  MICHIGAN 
7-Jul-12,91XX ,S ,CHAPPEL ,Chicago,Illinois,P003165880 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,19,91XX  S  CHAPPEL 
8-Jul-12,19XX ,S ,ALBANY ,Chicago,Illinois,P003043644 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,40,19XX  S  ALBANY 
8-Jul-12,20XX ,E ,71 ST ,Chicago,Illinois,P003139716 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,25,20XX  E  71 ST 
8-Jul-12,79XX ,S ,COLFAX ,Chicago,Illinois,P003804116 ,9-52-010 Rights and duties. ,36,79XX  S  COLFAX 
9-Jul-12,18XX ,E ,70TH ST ,Chicago,Illinois,P003139717 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,18XX  E  70TH ST 
9-Jul-12,35XX ,W ,ARMIT AGE ,Chicago,Illinois,P003226064 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,30,35XX  W  ARMIT AGE 
9-Jul-12,9XX ,W ,ADAMS ST ,Chicago,Illinois,P003248804 ,9-52-010 Rights and duties. ,20,9XX  W  ADAMS ST 
10-Jul-12,10XX ,N ,LAWNDALE ,Chicago,Illinois,P003196853 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,10XX  N  LAWNDALE 
10-Jul-12,16XX ,E ,53RD ST ,Chicago,Illinois,P003061144 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,43,16XX  E  53RD ST 
10-Jul-12,27XX ,W ,DEVON ,Chicago,Illinois,P003133491 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,41,27XX  W  DEVON 
10-Jul-12,9XX ,W ,MARQUETTE ,Chicago,Illinois,P003248459 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,9XX  W  MARQUETTE 
11-Jul-12,70XX ,S ,KINGSTON ,Chicago,Illinois,P003160057 ,9-52-080 Headlamps ,33,70XX  S  KINGSTON 
12-Jul-12,32XX ,S ,ARCHER AVE ,Chicago,Illinois,P003329027 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,27,32XX  S  ARCHER AVE 
12-Jul-12,62XX ,S ,KING DR ,Chicago,Illinois,P002032437 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,32,62XX  S  KING DR 
12-Jul-12,79XX ,S ,INGLESIDE ,Chicago,Illinois,P003088876 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,55,79XX  S  INGLESIDE 
13-Jul-12,25XX ,S ,TROY ,Chicago,Illinois,P003220363 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,26,25XX  S  TROY 
13-Jul-12,36XX ,W ,28TH ST ,Chicago,Illinois,P003223278 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,32,36XX  W  28TH ST 
13-Jul-12,67XX ,S ,EAST END ,Chicago,Illinois,P003041325 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,67XX  S  EAST END 
13-Jul-12,8XX ,E ,79TH ST ,Chicago,Illinois,P003009079 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,48,8XX  E  79TH ST 
14-Jul-12,44XX ,W ,OGDEN ,Chicago,Illinois,P003043647 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,44XX  W  OGDEN 
14-Jul-12,54XX ,S ,LAFLIN ,Chicago,Illinois,P003017861 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,54XX  S  LAFLIN 
14-Jul-12,XX ,N ,LAMON ,Chicago,Illinois,P003149929 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,31,XX  N  LAMON 
15-Jul-12,22XX ,S ,KIRKLAND ,Chicago,Illinois,P003223184 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,28,22XX  S  KIRKLAND 
16-Jul-12,10XX ,N ,WELLS ,Chicago,Illinois,P003051973 ,9-52-010 Rights and duties. ,39,10XX  N  WELLS 
16-Jul-12,24XX ,S ,ALBANY ,Chicago,Illinois,P003221193 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,30,24XX  S  ALBANY 
17-Jul-12,52XX ,N ,WESTERN ,Chicago,Illinois,P003132735 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,52XX  N  WESTERN 
17-Jul-12,60XX ,N ,SHERIDAN RD ,Chicago,Illinois,P003134451 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,38,60XX  N  SHERIDAN RD 
18-Jul-12,30XX ,S ,KEDVALE ,Chicago,Illinois,P003220365 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,30XX  S  KEDVALE 
18-Jul-12,50XX ,N ,BROADWAY ,Chicago,Illinois,P003122269 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,25,50XX  N  BROADWAY 
18-Jul-12,50XX ,N ,BROADWAY ,Chicago,Illinois,P003124016 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,38,50XX  N  BROADWAY 
18-Jul-12,60XX ,N ,SHERIDAN ,Chicago,Illinois,P003134452 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,31,60XX  N  SHERIDAN 
19-Jul-12,10XX ,N ,CENTRAL ,Chicago,Illinois,P002313072 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,64,10XX  N  CENTRAL 
19-Jul-12,19XX ,W ,HOOD ,Chicago,Illinois,P001911184 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,25,19XX  W  HOOD 
19-Jul-12,34XX ,W ,OHIO ,Chicago,Illinois,P003235258 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,40,34XX  W  OHIO 
19-Jul-12,98XX ,S ,PARNELL ,Chicago,Illinois,P003157248 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,98XX  S  PARNELL 
20-Jul-12,17XX ,W ,79TH ,Chicago,Illinois,P003225873 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,22,17XX  W  79TH 
20-Jul-12,6XX ,W ,74TH ST ,Chicago,Illinois,P003055164 ,9-52-010 Rights and duties. ,27,6XX  W  74TH ST 
20-Jul-12,76XX ,N ,EAST LAKE TR ,Chicago,Illinois,P003133991 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,76XX  N  EAST LAKE TR 
21-Jul-12,73XX ,S ,BLACKSTONE ,Chicago,Illinois,P003112166 ,9-52-070 Parking. ,19,73XX  S  BLACKSTONE 
21-Jul-12,87XX ,S ,COMMERCIAL ,Chicago,Illinois,P003164199 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,24,87XX  S  COMMERCIAL 
22-Jul-12,25XX ,W ,63RD ST ,Chicago,Illinois,P003298517 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,29,25XX  W  63RD ST 
22-Jul-12,70XX ,S ,HALSTED ,Chicago,Illinois,P003044539 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,43,70XX  S  HALSTED 
23-Jul-12,112XX ,E ,120TH ,Chicago,Illinois,P003161752 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,48,112XX  E  120TH 
23-Jul-12,14XX ,W ,JARVIS ,Chicago,Illinois,P003285480 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,23,14XX  W  JARVIS 
23-Jul-12,15XX ,W ,DIVISION ,Chicago,Illinois,P003251706 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,61,15XX  W  DIVISION 
23-Jul-12,39XX ,S ,ALBANY ,Chicago,Illinois,P003231644 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,28,39XX  S  ALBANY 
23-Jul-12,95XX ,S ,UNIVERSITY ST ,Chicago,Illinois,P003091017 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,18,95XX  S  UNIVERSITY ST 
24-Jul-12,28XX ,S ,ST LOUIS ,Chicago,Illinois,P002327059 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,21,28XX  S  ST LOUIS 
24-Jul-12,30XX ,W ,BELMONT ,Chicago,Illinois,P002524270 ,9-52-020 Riding bicycles on sidewalks and certain roadway ,20,30XX  W  BELMONT 
